timestamp,open,high,low,close,volume
2019-10-22,288.0000,289.0500,265.6500,277.7000,7885355
2019-09-30,268.4000,286.3000,266.3500,285.6500,10967536
2019-08-30,289.2000,296.7500,253.2000,269.7000,15545761
2019-07-31,274.0000,290.2500,270.9500,289.5500,11241700
2019-06-28,254.7500,275.6000,254.3000,271.5000,12237397
2019-05-31,228.0000,265.0500,225.1500,256.2000,17682353
2019-04-30,218.2500,232.5000,216.6000,229.1000,11850985
2019-03-29,214.5000,219.8000,197.2500,216.6000,17936199
2019-02-28,204.8000,214.5000,194.8000,213.6000,13484306
2019-01-31,183.0500,208.4000,181.3500,207.7000,14372297
2018-12-28,198.0000,201.1000,178.1500,182.4000,15245037
2018-11-30,207.9000,209.1000,193.2000,194.8000,16451141
2018-10-31,210.7000,215.2000,189.5000,208.0000,17720738
2018-09-28,214.1000,217.2000,203.8000,210.9000,11905902
2018-08-31,189.4500,218.0000,183.9500,214.9000,16379309
2018-07-31,184.5500,191.8500,180.5000,189.1500,13352706
2018-06-29,194.6000,203.8000,183.1500,186.9500,18383277
2018-05-31,203.0000,207.8000,186.8000,193.6000,19811207
2018-04-30,195.0000,215.5000,193.0500,203.9000,15047980
2018-03-29,181.7000,200.3000,168.2500,196.6500,24559440
2018-02-28,187.8000,188.2000,171.0000,182.6000,17616452
2018-01-31,167.1500,188.4500,165.2500,187.3000,20379284
2017-12-29,175.8000,182.2500,165.0500,167.1500,14570634
2017-11-30,191.0500,191.9000,175.1000,175.2000,18174736
2017-10-31,193.8000,197.0000,185.8500,191.0500,10118106
2017-09-29,189.4500,199.2500,185.2000,191.4000,12003275
2017-08-31,193.9000,202.1000,181.4000,188.5500,13301694
2017-07-31,168.5000,193.7500,167.8000,193.0000,14970225
2017-06-30,170.7500,178.6500,163.4500,167.7500,14820604
2017-05-31,184.4500,188.9500,167.7000,170.2500,14165986
2017-04-28,178.9000,187.0000,173.9500,183.9000,9733805
2017-03-31,157.4000,185.0500,157.3500,178.3000,18537932
2017-02-28,146.1500,158.8500,142.6000,158.4000,11536332
2017-01-31,149.7500,156.3500,142.9500,145.6500,13228384
2016-12-30,138.7000,150.1500,136.7500,150.1500,11775268
2016-11-30,150.0000,150.7000,129.6000,139.0000,19881380
2016-10-31,154.4000,160.3000,147.3000,149.4000,13579325
2016-09-30,148.8000,157.4000,142.0500,154.5000,26276178
2016-08-31,148.0500,157.4500,141.8500,148.9500,16048485
2016-07-29,128.5500,147.9500,124.3000,146.7500,17030700
2016-06-30,114.5000,128.5000,107.6500,128.4500,19206047
2016-05-31,112.3500,116.5000,108.9000,115.1500,15890066
2016-04-29,102.3000,118.3000,100.4500,112.6000,16556447
2016-03-31,98.5800,104.7500,95.1700,103.0000,17560902
2016-02-29,95.0000,100.6500,84.7700,98.4600,24631548
2016-01-29,88.1200,95.2100,82.0900,94.9800,28420706
2015-12-30,92.0000,94.5000,85.7700,89.9100,19901232
2015-11-30,81.0000,91.5900,79.6200,91.5900,26839558
2015-10-30,72.8600,83.4900,70.8200,81.5500,26028993
2015-09-30,65.7300,72.7200,64.6500,72.0100,23299778
2015-08-31,74.4700,76.4100,62.5100,66.7200,22379498
2015-07-31,70.1100,75.0000,66.6300,74.4700,21656598
2015-06-30,71.5300,72.7800,67.5000,68.6500,26201235
2015-05-29,74.0200,78.0500,71.1100,71.5300,19105469
2015-04-30,73.1000,77.2600,72.6700,73.4200,21429026
2015-03-31,69.3800,75.1000,66.8000,73.6900,33536888
2015-02-27,61.5900,69.5000,61.0100,69.4300,27165329
